,AgencyCode,AgencyName,CategoryOfFundingActivity.Element:Text,Description
157,HUD,Department of Housing and Urban Development,HO,"Through funding of national organizations with expertise in rural housing and community development, the Rural Capacity Building program enhances the capacity and ability of local governments, Indian tribes, housing development organizations, rural CDCs, and CHDOs, to carry out community development and affordable housing activities that benefit low- and moderate-income families and persons in rural areas."
346,HUD,Department of Housing and Urban Development,HO,"The overarching purpose of the Lead Based Paint Hazard Control Program and the Lead Hazard Reduction Demonstration Grant Program is to assist states, Native American Tribes, cities, counties/parishes, or other units of local government in undertaking comprehensive programs to identify and control lead-based paint hazards in eligible privately owned rental or owner-occupied housing, with the exception that the Lead Hazard Reduction Demonstration Grant Program is targeted for urban jurisdictions with the greatest lead-based paint hazard control needs. "
349,HUD,Department of Housing and Urban Development,HO,"The overarching purpose of the Lead Based Paint Hazard Control Program and the Lead Hazard Reduction Demonstration Grant Program is to assist states, Native American Tribes, cities, counties/parishes, or other units of local government in undertaking comprehensive programs to identify and control lead-based paint hazards in eligible privately owned rental or owner-occupied housing, with the exception that the Lead Hazard Reduction Demonstration Grant Program is targeted for urban jurisdictions with the greatest lead-based paint hazard control needs. "
431,HUD,Department of Housing and Urban Development,HO,"The overall goal of the Healthy Homes Technical Studies program is to gain knowledge to improve the efficacy and cost-effectiveness of methods for the evaluation and control of housing related health and safety hazards. This also supports HUD&#146;s Strategic Goal to utilize housing as a platform for improving the quality of life and health outcomes for those living in HUD-assisted and HUD-regulated housing, and the associated policy priority to build inclusive and sustainable communities by improving the health of community residents while reducing the impact of communities on the environment. The overall goals and objectives of the Healthy Homes (HH) Program are to: (1) Mobilize public and private resources, involving cooperation among all levels of government, the private sector, grassroots community-based organizations, including faith-based organizations, and other non-profit organizations, to develop and implement the most promising, cost-effective methods for identifying and controlling housing-related hazards; and (2) Build local capacity to operate sustainable programs that will continue to prevent, minimize, and control housing-related hazards in low- and very low-income residences when HUD funding is exhausted. "
438,HUD,Department of Housing and Urban Development,HO,"This program supports the delivery of a wide variety of housing counseling services to homebuyers, homeowners, low- to moderate-income renters, and the homeless. The primary objectives of the program are to improve financial literacy, expand homeownership opportunities, improve access to affordable housing and preserve homeownership. Counselors provide guidance and advice to help families and individuals improve their housing conditions and meet the responsibilities of tenancy and homeownership. Additionally, counselors may provide counseling services to homeowners to prevent or resolve mortgage delinquency, default, and foreclosure, with the primary objective to preserve homeownership. Counselors provide guidance and advice to help families and individuals meet the responsibilities of homeownership and modify or refinance their loans. Counselors also help borrowers avoid inflated appraisals, unreasonably high interest rates, unaffordable repayment terms, and other conditions that can result in a loss of equity, increased debt, default, and eventually foreclosure. Counselors can also assist homeowners with inquiries related to mortgage scams, and reporting instances of potential mortgage scam victimization. Applicants funded through this program may also provide Reverse Mortgage Counseling to senior homeowners who seek to convert equity in their homes into income that can be used to pay for home improvements, medical costs, living expenses, or other expenses. FUNDING: Housing counseling funding is distributed over four applicant categories Local Housing Counseling Agencies $10,250,000, Intermediaries $25,800,000, State Housing Finance Agencies $2,800,000, and Multi-State Organizations $1,200,000. "
535,VA-OMH,VA Office of Mental Health,HO,"The Department of Veterans Affairs (VA) is announcing the availability of funds for supportive services grants under the Supportive Services for Veteran Families (SSVF) Program. This Notice contains information concerning the SSVF Program, initial and renewal supportive services grant application processes, and amount of funding available. For a Copy of the Application Packages: Download directly from the SSVF Program web page at: http:// www.va.gov/HOMELESS/SSVF.asp. Questions should be referred to the SSVF Program Office via phone at (877) 737&#150;0111 (this is a toll-free number) or via email at SSVF@va.gov. For detailed SSVF Program information and requirements, see the Final Rule published in the Federal Register (75 FR 68975) on November 10, 2010 (Final Rule), which is codified in 38 CFR Part 62."
547,HUD,Department of Housing and Urban Development,HO,"The purpose of this Demonstration Pre-Development Grant program is to assist Sponsors of projects that receive Fund Reservation Awards pursuant to the FY 2010 NOFA for the Section 202 Supportive Housing for the Elderly program, as amended to include FY 2011 appropriations, by providing pre-development grant funding for architectural and engineering work, site control, and other planning related expenses that are eligible for funding under the Section 202 Supportive Housing for the Elderly program. Subsequent to providing pre-development grant funding to the selected applicants, HUD will assess the impact of the availability of such funding on the ability of project Sponsors to expedite the development processing of projects from Section 202 Fund Reservation to Initial Closing within 18 months. HUD is aware of the complexities of developing Section 202 projects and understands that a lack of pre-development funding may be a contributing factor in many instances where project Sponsors are not able to move their approved projects from Fund Reservation award to Initial Closing within the required 18-month time frame. Funding under this program is not intended to duplicate Section 202 Capital Advance funding, but rather to provide a source of funding for pre-development costs that would otherwise not be reimbursable until Initial Closing or would be payable from eligible funding resources secured outside of Section 202 Capital Advance funding. "
596,HUD,Department of Housing and Urban Development,HO," Purpose of the Program: The purpose of the Delta Community Capital Initiative (DCCI) is to support local rural nonprofits and Federally Recognized Indian tribes serving the Lower Mississippi Delta for lending and investing activities in businesses lending and economic development, and for securing additional sources of public and private capital for these activities. DCCI&#8217;s goal is to increase access to capital for business lending and development in the chronically underserved and undercapitalized Lower Mississippi Delta Region. Specifically, it will provide direct investment and technical assistance to community development lending and investing institutions so that funding opportunities will be more effective and economic development services will expand to the underserved residents of Lower Mississippi Delta Region. DCCI will focus on helping local financial institutions improve their capacity to raise capital, and to lend and invest in local communities. Strengthening local community development lenders and investors will also widen the channels through which larger private institutions and federal agencies can reach small business owners and entrepreneurs who need their support. "
597,HUD,Department of Housing and Urban Development,HO,"Program Description: AEDI&#8217;s goal is to increase access to capital for business lending and development in the chronically underserved and undercapitalized Appalachian region. Applicants that are eligible to participate in this initiative are State community and/or economic development agencies. Specifically the AEDI will provide direct investment and technical assistance to community development lending and investing institutions in areas of the Appalachian Region that suffer from a lack of capacity to support business development. The AEDI will coordinate with ARC&#8217;s economic development programs such as the ACC intermediary to identify areas within the Appalachian Region that are most in need of lending and investment capacity. The AEDI will provide funding and assistance through State community and/or economic development agencies to support local rural non-profit organizations that will increase the capital and support available to businesses in underserved communities and enhance the effectiveness of economic development programs for these areas. AEDI will focus on improving Appalachian communities and creating asset building opportunities for Appalachian residents by helping local financial institutions improve their capacity to raise capital from public and private sources, and to lend and invest it in local communities. Strengthening local community development lenders and investors will also widen the channels through which larger private institutions and federal agencies can reach small business owners and service providers who need their support."
959,HUD,Department of Housing and Urban Development,HO,"The CoC Program (24 CFR part 578) is designed to promote a community-wide commitment to the goal of ending homelessness; to provide funding for efforts by nonprofit providers, States, and local governments to quickly re-house the homeless while minimizing the trauma and dislocation caused by homelessness; to promote access to and effective utilization of mainstream programs by the homeless; and to optimize self-sufficiency among those experiencing homelessness."
988,HUD,Department of Housing and Urban Development,HO,"Broadly, the goal of the competition is to make Community Development Block Grant and; Resilient Disaster Recovery (CDBG-NDR) funds available for compelling resilient recovery projects. The competition criteria are informed by the goals of the Presidents Climate Action Plan (CAP) and the Hurricane Sandy Rebuilding Strategy recommendations.All eligible applicants under this NOFA are already grantees under the CDBG program and are familiar with those program requirements. For specific adjustments and requirements related to CDBG-NDR funds, you are advised to review the Authority section and Attachment A to this NOFA, which includes post-award requirements. A complete submission under this NOFA will address and comply with these requirements."
1517,HUD,Department of Housing and Urban Development,HO,"Purpose of the Program. The purpose of Jobs Plus Pilot program is to develop locally-based approaches to increase earnings and advance employment outcomes such as work readiness, employer linkages, job placement, educational advancement and financial literacy. The place-based Jobs Plus Pilot program addresses entrenched poverty among public housing residents by offering targeted developments with various incentives and supports including income disregards for working families, employer linkages, job placement and counseling, educational advancement, and financial counseling."
1518,HUD,Department of Housing and Urban Development,HO,"Funds are available to provide, under cooperative agreements with HUD, training activities designed to improve and standardize the quality of counseling provided by housing counselors employed by &#147;participating agencies.&#148; Participating agencies are all housing counseling and intermediary organizations participating in HUD&#146;s Housing Counseling Program, including HUD-approved agencies, and affiliates and branches of HUD-approved intermediaries, HUD-approved multi-state organizations, and state housing finance agencies. "
1561,HUD,Department of Housing and Urban Development,HO,"Choice Neighborhoods Implementation Grants support those communities that have undergone a comprehensive local planning process and are ready to implement their &#147;Transformation Plan&#148; to redevelop the neighborhood. HUD is focused on directing resources to achieve the following three core goals: 1. Housing: Transform distressed public and assisted housing into energy efficient, mixed-up income housing that is physically and financially viable over the long term; 2. People: Support positive outcomes for families who live in the target development(s) and the surrounding neighborhood, particularly outcomes related to residents&#146; health, safety employment, mobility, and education and 3. Neighborhood: Transform distressed, high-poverty neighborhoods into viable, mixed-up income neighborhoods with access to well &#150;functioning services, high quality public schools and education programs, high quality early learning programs and services, public assets, public transportation, and improved access to jobs. The plan must focus on the revitalization of a severely distressed public housing or HUD-assisted multifamily housing project located in a distressed neighborhood. "
1693,HUD,Department of Housing and Urban Development,HO,"The General Section describes the requirements that are applicable to all HUD FY 2015 Program NOFAs. The General Section also provides information on HUD&#146;s priorities and strategic goals. Each Program NOFA will describe additional applicable procedures and requirements, including a description of the eligible applicants, eligible activities, threshold requirements, cross-program requirements such as nondiscrimination, environmental protection, and any additional program requirements or limitations. To adequately address all of the application requirements for any program, please carefully read and respond to both this General Section and any applicable Program NOFA."
1919,HUD,Department of Housing and Urban Development,HO,"Choice Neighborhoods Implementation Grants support the implementation of comprehensive neighborhood revitalization plans that are expected to achieve the following three core goals: 1. Housing: Replace distressed public and assisted housing with high-quality mixed-income housing that is well-managed and responsive to the needs of the surrounding neighborhood; 2. People: Improve educational outcomes and intergenerational mobility for youth with services and supports delivered directly to youth and their families; and 3. Neighborhood: Create the conditions necessary for public and private reinvestment in distressed neighborhoods to offer the kinds of amenities and assets, including safety, good schools, and commercial activity, that are important to families&#8217; choices about their community."
2048,CNCS,Corporation for National and Community Service,HO,"Operation AmeriCorps is a new initiative created by the Corporation for National and Community Service (CNCS). For the first time, applicants may request AmeriCorps State and National, AmeriCorps VISTA, and AmeriCorps NCCC resources in a single application to use national service as the transformative catalyst to address a community&#146;s most pressing local problem. Through Operation AmeriCorps, tribal and local leaders will identify a high priority local challenge which AmeriCorps resources can holistically address in a relatively short period of time (no more than two years). The competition is open exclusively to tribal and local governments, including counties, cities, towns, and school districts; and state service commissions. The proposed solution may be a new program, or it may use national service to scale up an existing successful effort. In either case AmeriCorps must be the additive ingredient to achieve holistic change at the local level."
