,CategoryOfFundingActivity.Element:Text
HL,12990
ST,10022
NR,9138
O,8971
ED,4006
ENV,3552
"ED, HL",2935
ISS,2564
LJL,2091
AG,1244
EN,1120
T,1057
"ENV, NR",1015
HU,1014
ELT,971
"FN, HL",793
"ENV, NR, ST",738
"HL, ISS",697
CD,670
"ED, HL, ISS",581
"AG, ENV, NR",456
HO,397
BC,393
AR,363
DPR,328
IS,309
RA,293
FN,269
"ED, ENV, FN, HL, ISS",262
"ED, NR",258
"ED, ENV, HL, ISS",236
"ED, ENV, HL",219
"ENV, HL",214
RD,212
"AG, CP, FN",188
"ED, ENV, NR",176
"NR, ST",148
"ISS, LJL",143
"LJL, ST",142
"AR, HU",122
"EN, ST",111
"ED, ENV, NR, ST",111
"ED, ENV",104
"ED, ENV, ST",103
"ED, FN, HL",99
"ED, FN, HL, ISS",95
"ENV, ST",93
"ED, ST",79
"ENV, NR, O",74
ACA,70
"ED, O",67
"CD, HO",67
"OZ, ST",64
"CD, ENV, NR",59
"ENV, HL, ISS",58
"ED, ENV, FN, HL",56
"HL, RA",55
"CP, FN, HL",54
"CD, DPR, ED, ELT, ENV, IS, NR, RD, ST",51
"AG, NR",48
"FN, HL, ISS",43
IIJ,43
"AG, FN",42
"AG, ED",41
"AG, ENV, NR, ST",40
"DPR, NR",40
"ELT, NR",40
"IS, NR",40
"NR, O",39
"ED, ELT, ENV, NR",39
"ED, ELT",37
"CD, ED, ENV, NR",37
"HL, ST",36
"EN, ENV",36
"O, RD",34
"ENV, IIJ",32
CP,31
"CD, ED",30
"ED, NR, ST",30
"CD, ED, ENV, NR, RD",28
"IS, NR, ST",28
"AR, ED, HU",26
"LJL, O",26
"ED, HU",25
"AG, EN, ENV, NR",25
"HO, OZ",25
"CD, ENV",24
"EN, OZ",24
"ED, ELT, ENV, NR, ST",24
"AG, BC",23
"ENV, IS, NR, ST",23
"AG, CD",22
"ELT, ENV, NR, O",21
"BC, ST",20
"ENV, IS, NR",20
"ELT, T",20
"HU, O",19
"EN, IIJ",18
"ED, ELT, NR",18
"AG, CD, ENV, HL",18
"BC, ENV, NR, ST",18
"AR, HU, O",17
"DPR, ED",17
"CP, ST",16
"CP, FN, ST",16
"ED, ELT, ENV, FN, HL, ISS",15
