,ExpectedNumberOfAwards,AgencyName
0,8.0,03162009-KV
1,1.0,08092011-kj-test
2,7412.0,69A345 Office of the Under Secretary for Policy
3,76.0,69A350 OSDBU
4,105.0,69A355 Research and Technology
5,50.0,ACC APG - Natick
6,201.0,ACC-APG-Aberdeen Division A
7,1.0,ACC-APG-Belvoir
8,85.0,ACC-APG-Detrick
9,2.0,ACC-APG-Edgewood
10,5.0,ACC-APG-Fort Huachuca
11,108.0,AFRL Kirtland AFB
12,2931.0,Administration for Children & Families - ACYF/FYSB
13,6166.0,Administration for Children and Families
14,291.0,Administration for Children and Families - ACYF/CB
15,398.0,Administration for Children and Families - ANA
16,163.0,Administration for Children and Families - OCC
17,448.0,Administration for Children and Families - OCS
18,113.0,Administration for Children and Families - OCSE
19,13.0,Administration for Children and Families - OCSS
20,394.0,Administration for Children and Families - OFA
21,2000.0,Administration for Children and Families - OHS
22,1.0,Administration for Children and Families - OHSEPR
23,424.0,Administration for Children and Families - OPRE
24,1422.0,Administration for Children and Families - ORR
25,70.0,Administration for Children and Families-IOAS-OTIP
26,3391.0,Administration for Community Living
27,1602.0,Administration on Aging
28,1697.0,Advanced Research Projects Agency Energy 
29,611.0,Advanced Research Projects Agency for Health
30,93.0,Afghanistan USAID-Kabul
31,1234.0,Africa Regional Services
32,928.0,Agency for Health Care Research and Quality
33,3389.0,Agency for International Development
34,206371.0,Agricultural Marketing Service
35,130.0,Agricultural Trade Promotion Program 10.618
36,4.0,Air Force -- Materiel Command
37,644.0,Air Force -- Research Lab
38,308.0,Air Force Academy
39,12205692.0,Air Force Office of Scientific Research
40,2.0,Airport Improvement Program Discretionary Grants
41,89.0,Alaska District
42,2.0,Albania USAID-Tirana
43,175.0,AmeriCorps
44,223.0,Animal and Plant Health Inspection Service
45,82.0,Armenia USAID-Yerevan
46,2.0,Army Contracting Command - Benet Laboratories
47,1.0,Army Contracting Command - New Jersey
48,1.0,Army Contracting Command Rock Island
49,587.0,Assistance Coordination
50,6.0,Assistant Secretary for Planning and Evaluation
51,510.0,Assistant Secretary for Preparedness and Response
52,220.0,Aviation Workforce Development Grant Program
53,22.0,Azerbaijan USAID-Baku
54,100085.0,Bangladesh USAID-Dhaka
55,17.0,Benin USAID-Cotonou
56,13.0,Bolivia USAID-La Paz
57,66.0,Bosnia USAID-Herzegovina
58,8.0,Brazil USAID-Brasilia
59,1408.0,Bureau Of Educational and Cultural Affairs
60,147.0,Bureau of African Affairs
61,34.0,Bureau of Conflict Stabilization Operations
62,122.0,Bureau of Counterterrorism 
63,5.0,Bureau of Cyberspace and Digital Policy
64,1404.0,Bureau of Democracy Human Rights and Labor
65,18.0,Bureau of Diplomatic Security
66,56.0,Bureau of East Asian and Pacific Affairs 
67,16.0,Bureau of Economic and Business Affairs
68,16.0,Bureau of Energy Resources
69,286.0,Bureau of European and Eurasian Affairs
70,151.0,Bureau of Global Public Affairs
71,19.0,Bureau of Human Resources
72,2069.0,Bureau of Indian Affairs
73,156.0,Bureau of Intelligence and Research
74,202.0,Bureau of International Labor Affairs
75,833.0,Bureau of International Narcotics-Law Enforcement
76,2247.0,Bureau of International Security-Nonproliferation
77,24291.0,Bureau of Justice Assistance
78,1841.0,Bureau of Justice Statistics
79,1967341.0,Bureau of Land Management
80,7.0,Bureau of Near Eastern Affairs
81,116.0,Bureau of Ocean Energy Management
82,243.0,Bureau of Ocean Energy Management 
83,262.0,Bureau of Oceans - Int. Environmental - Scientific
84,2.0,Bureau of Political-Military Affairs - GPI
85,168.0,Bureau of Political-Military Affairs - WRA
86,759.0,Bureau of Population Refugees and Migration
87,106715.0,Bureau of Reclamation
88,253.0,Bureau of Reclamation - Denver Office
89,127.0,Bureau of Reclamation - Great Plains Region
90,200291.0,Bureau of Reclamation - Lower Colorado Region
91,338.0,Bureau of Reclamation - Mid-Pacific Region
92,193.0,Bureau of Reclamation - Pacific Northwest Region
93,122.0,Bureau of Reclamation - Upper Colorado Region
94,260.0,"Bureau of Reclamation, Denver Office"
95,49.0,"Bureau of Reclamation, Mid-Pacific Regional Office"
96,27.0,Bureau of Reclamation-Upper Columbia Area Office
97,8.0,Bureau of Safety and Environmental Enforcement
98,511.0,Bureau of South and Central Asian Affairs
99,67.0,Bureau of Western Hemisphere Affairs
100,12.0,Burma USAID - Rangoon
101,21.0,Burundi USAID-Bujumbura
102,6.0,CEERD-CERL
103,86.0,CENTERS FOR DISEASE CONTROL  CSTLTS
104,51.0,CMS Consumer Operated and Oriented Plan Program
105,860.0,CMS-Consumer Information & Insurance Oversight
106,1398.0,CSREES
107,83.0,California State Office
108,76.0,Cambodia USAID-Phnom Penh
109,144.0,Centers for Disease Control - ATSDR
110,13.0,Centers for Disease Control - CFA
111,2764.0,Centers for Disease Control - CGH
112,274.0,Centers for Disease Control - CSELS
113,452.0,Centers for Disease Control - NCBDDD
114,2317.0,Centers for Disease Control - NCCDPHP
115,611.0,Centers for Disease Control - NCEH
116,476.0,Centers for Disease Control - NCEZID
117,1569.0,Centers for Disease Control - NCHHSTP
118,52.0,Centers for Disease Control - NCHS
119,2087.0,Centers for Disease Control - NCIPC
120,512.0,Centers for Disease Control - NCIRD
121,1.0,Centers for Disease Control - NIOSH
122,19.0,Centers for Disease Control - OD
123,492.0,Centers for Disease Control - OPHPR
124,72.0,Centers for Disease Control - ORR
125,1416.0,Centers for Disease Control - OSTLTS
126,8189309.0,Centers for Disease Control and Prevention
127,1504698.0,Centers for Disease Control and Prevention - ERA
128,7.0,Centers for Disease Control-GHC
129,1753.0,Centers for Medicare & Medicaid Services
130,1245.0,Chicago Service Center
131,61.0,Cochran Fellowship Prog-Intl Trng 10.962
132,48.0,Colombia USAID-Bogota
133,156.0,Colorado State Office
134,2.0,Community Capacity Development Office
135,7361.0,Community Development Financial Institutions
136,4538.0,Community Oriented Policing Services
137,1.0,Construction of State Home Facilities
138,163.0,Consumer Product Safety Commission
139,11316.0,Corporation for National and Community Service
140,5.0,Cote d Ivoire USAID - Abidjan
141,133.0,DARPA - Biological Technologies Office
142,253.0,DARPA - Defense Sciences Office
143,93.0,DARPA - Information Innovation Office
144,9.0,DARPA - Information Processing Technology Office
145,403.0,DARPA - Microsystems Technology Office 
146,18.0,DARPA - Strategic Technology Office
147,28.0,DARPA - Tactical Technology Office
148,17.0,DARPA - Transformational Convergence Technology
149,1.0,DARPA-MTO-BAA-09-25
150,221.0,DOC NOAA - ERA Production
151,18.0,DOT - FAA Aviation Research Grants
152,13.0,DOT - FAA Centers of Excellence
153,1370.0,DOT - Federal Railroad Administration
154,81.0,DOT Federal Aviation Administration 
155,4356.0,DOT Federal Highway Administration 
156,4.0,DOT OSDBU
157,3987.0,DOT-Federal Motor Carrier Safety Administration
158,12.0,DOT-Federal Transit Administration - Inactive Site
159,5658.0,DOT/Federal Transit Administration
160,8.0,Defense Advanced Research Projects Agency
161,26.0,Defense Health Agency
162,24.0,Defense Intelligence Agency
163,1205.0,Defense Logistics Agency
164,407.0,Defense Threat Reduction Agency
165,39.0,Democratic Republic of the Congo USAID-Kinshasa
166,1328.0,Denali Commission
167,85.0,Department of Agriculture
168,33675.0,Department of Commerce
169,566.0,Department of Defense
170,11264248.0,Department of Education
171,8.0,Department of Energy
172,784.0,Department of Homeland Security
173,93545.0,Department of Homeland Security - FEMA
174,193219633.0,Department of Housing and Urban Development
175,1126.0,Department of Justice
176,1303.0,Department of State
177,72.0,Department of Transportation
178,1.0,Department of Veterans Affairs
179,2658.0,Department of the Interior
180,5004.0,Department of the Treasury
181,18272.0,Dept of the Army -- Materiel Command
182,205.0,Dept. of the Army  --  Corps of Engineers
183,112.0,Dept. of the Army -- Space & Missle Defense Comman
184,13832.0,Dept. of the Army -- USAMRAA
185,255.0,Div of Contracting & Facilities Mgt
186,45.0,DoD Education Activity
187,59.0,Dominican Republic USAID-Santo Domingo
188,46.0,East Africa USAID-Kenya
189,11570.0,Economic Development Administration
190,218.0,Economic Research Service
191,7.0,Ecuador USAID-Quito
192,226.0,Egypt USAID-Cairo
193,52.0,El Salvador USAID-San Salvador
194,101.0,Election Assistance Commission
195,195.0,Emerging Markets Program 10.603
196,12796.0,Employment and Training Administration
197,1.0,Endangered Species
198,7.0,Energy Cluster Program
199,126.0,Engineer Research and Development Center
200,35.0,Environmental Management Consolidated Business Cen
201,28996.0,Environmental Protection Agency
202,177.0,Ethiopia USAID-Addis Ababa 
203,3.0,FAA - Aviation Next Gen
204,601.0,FAA-COE-AJFE
205,1.0,FAA-COE-GA
206,2.0,FAA-COE-JAMS
207,100.0,FAA-COE-TTHP
208,6.0,Faculty Exchange Program 10.613
209,441.0,Farm Service Agency
210,380.0,Federal Communications Commission
211,167.0,Federal Mediation and Conciliation Service
212,903687.0,Fish and Wildlife Service
213,6.0,Fisheries & Habitat Conservation
214,114.0,Florida State Office
215,135.0,Food Safety Inspection Service
216,8903.0,Food and Drug Administration
217,3844.0,Food and Nutrition Service
218,58.0,Food for Progress 10.606
219,1314.0,Foreign Agricultural Service
220,102.0,Foreign Market Development Cooperator Prog 10600
221,7803.0,Forest Service
222,124.0,Fort Worth District
223,4.0,General Services Administration
224,5082.0,Geological Survey
225,432.0,Georgia State Office
226,76.0,Georgia USAID-Tbilisi
227,3.0,Germany USAID - Frankfurt
228,95.0,Ghana USAID-Accra
229,262.0,Global Programs
230,4880.0,Golden Field Office
231,81.0,Guatemala USAID-Guatemala City
232,25.0,Guinea USAID-Conakry
233,122.0,Haiti USAID-Port Au Prince
234,65.0,Hawaii State Office
235,828.0,Headquarters
236,46979.0,Health Resources and Services Administration
237,1749.0,Homeless Providers Grant and Per Diem Program
238,31.0,Honduras USAID-Tegucigalpa
239,43.0,Hungary USAID-Budapest
240,11.0,IV&V Test Agency
241,1472.0,Idaho Field Office
242,113.0,Idaho State Office
243,40.0,Inactive Site
244,74.0,India USAID-New Delhi
245,2811.0,Indian Health Service
246,4.0,Indiana State Office
247,85.0,Indonesia USAID-Jakarta
248,10074.0,Institute of Museum and Library Services
249,1.0,Inter-American Foundation
250,5.0,Interagency Health Affairs
251,44.0,Interior Business Ceter
252,553.0,Internal Revenue Service
253,12.0,International Agricultural Educ Fellowship 10.619
254,7.0,Iraq Assistance Office
255,67.0,Iraq USAID-Baghdad
256,4.0,Jamaica USAID-Kingston
257,165.0,Jobs and Innovation Accelerator Challenge
258,36.0,Jordan USAID-Amman
259,1.0,KVkv
260,13.0,Kansas City District
261,30.0,Kansas State Office
262,61.0,Kazakhstan USAID-Almaty
263,321.0,Kentucky State Office
264,211.0,Kenya USAID-Nairobi
265,33.0,Kosovo USAID-Pristina
266,7.0,Lebanon USAID-Beirut
267,165.0,Legal Services for Veterans
268,42.0,Liberia USAID-Monrovia
269,144.0,Library of Congress
270,17.0,Local and Regional Food Aid Procure Pgm LRP 10612
271,13.0,Louisiana State Office
272,1708.0,Low Income Taxpayer Clinic 
273,25.0,Macedonia USAID-Skopje
274,21.0,Madagascar USAID-Antananarivo
275,131.0,Malawi USAID-Lilongwe
276,36.0,Mali USAID -Bamako
277,505.0,Maritime Administration
278,285.0,Market Access Program 10.601
279,93.0,Maryland State Office
280,9.0,Massachusetts
281,89.0,McGovern-Dole Food for Education 10.608
282,101.0,Mexico USAID-Mexico City
283,9.0,Michigan State Office
284,24.0,Middle East Regional Platform USAID-MERP
285,102.0,Migratory Birds
286,57.0,Millennium Challenge Corporation
287,837.0,Mine Safety and Health Administration
288,28.0,Missile Defense Agency
289,18.0,Mission and Install. Cmd. JBSA Ft. Sam Houston
290,1.0,Mississippi State Office
291,117.0,Missouri State Office
292,1.0,Moldova USAID-Chisinau
293,1.0,Mongolia USAID-Ulaanbaatar
294,23.0,Montana State Office
295,27.0,Morocco USAID-Rabat
296,75.0,Mozambique USAID-Maputo
297,7.0,Munitions Directorate
298,44.0,NASA Ames Research Center
299,2.0,NASA Armstrong Flight Research Center
300,13.0,NASA Glenn Research Center
301,20.0,NASA Goddard Space Flight Center
302,2353.0,NASA Headquarters
303,229.0,NASA Johnson Space Center
304,4.0,NASA Kennedy Space Center
305,58.0,NASA Langley Research Center
306,16.0,NASA Marshall Space Flight Center
307,7.0,NASA Stennis Space Center
308,114.0,NAVAIR
309,122.0,NAVAL FACILITIES ENGINEERING COMMAND
310,106.0,NAVAL MEDICAL LOGISTICS COMMAND
311,1.0,NAVFAC Atlantic
312,14.0,NAVFAC Washington DC 
313,10.0,NCA Contracting
314,1.0,NEA Cooperative Agreements Office
315,339.0,NNSA
316,25.0,NRCS Iowa State Office
317,120.0,NRCS Oregon
